序号,系统,25/26,责任人,一级功能,二级功能,三级功能,四级功能,类型,修改说明,评估说明,FTR,RET,DET,复杂度,UFP,复用度,调整因子,应用系数,FP,FP*应用系数,FTR明细,RET明细,DET明细（除启动触发器）,备注,,备注,"说明：
一、对于EI、EO、EQ
1、FTR如有多个，用中文顿号隔开
2、DET每行对应一个FTR，有多少个FTR则有多少行DET。对于每一行DET，用竖线|分割输入DET和输出DET，用顿号隔开多个DET。不同FTR用回车分开。
逻辑文件1{输入1、输入2|输出1、输出2}
逻辑文件2{|输出3、输出4}
逻辑文件3{输入3|}
例如：用户角色查询
FTR明细：
用户信息、角色信息
DET明细：
用户信息{用户名|用户名、密码、姓名、电话号码}
角色信息{|角色名称、角色权限}
二、如使用估算法，在DET列填写“估算法”
三、后评估如缺少FTR或DET信息导致无法据实评估的，复杂度均为低，在DET列填写“估算”",评估方法：
=ROW()-1,,2025,张明峰,产品漏洞关联分析,产品漏洞信息管理,漏洞关联分析,创建产品漏洞预警任务,EI,,,"=IF(OR(X78=""估算法"",X78=""算法类"",X78=""无法识别""),"""",IF(V78="""",IF(OR(I78=""EI"",I78=""EO"",I78=""EQ""),0,""""),LEN(V78)-LEN(SUBSTITUTE(V78,""、"",""""))+1))","=IF(OR(X78=""估算法"",X78=""算法类"",X78=""无法识别""),"""",IF(W78="""",IF(OR(I78=""ILF"",I78=""EIF""),0,""""),LEN(W78)-LEN(SUBSTITUTE(W78,""、"",""""))+1))","=IF(OR(X78=""估算法"",X78=""算法类"",X78=""无法识别""),"""",IF(X78="""",IF(OR(I78=""ILF"",I78=""EIF"",I78=""EI"",I78=""EO"",I78=""EQ""),0,""""),LEN(X78)-LEN(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(X78,""|}"",""--""),""{|"",""--""),CHAR(10),""""),""、"",""""),""|"",""""))+IF(AND(OR(I78=""EI"",I78=""EO"",I78=""EQ""),$AD$1=""NESMA""),2,1)))","=IF(I78=""EI"",IF(OR(X78=""估算法"",X78=""算法类""),""中"",IF(X78=""无法识别"",""低"",IF(L78<2,IF(N78<16,""低"",""中""),IF(L78<3,IF(N78<5,""低"",IF(N78<16,""中"",""高"")),IF(N78<5,""中"",""高""))))),IF(OR(I78=""EO"",I78=""EQ""),IF(OR(X78=""估算法"",X78=""算法类""),""中"",IF(X78=""无法识别"",""低"",IF(L78<2,IF(N78<20,""低"",""中""),IF(L78<4,IF(N78<6,""低"",IF(N78<20,""中"",""高"")),IF(N78<6,""中"",""高""))))),IF(OR(I78=""ILF"",I78=""EIF""),IF(OR(X78=""估算法"",X78=""算法类"",X78=""无法识别""),""低"",IF(M78<2,IF(N78<51,""低"",""中""),IF(M78<6,IF(N78<20,""低"",IF(N78<51,""中"",""高"")),IF(N78<20,""中"",""高"")))),""不计算"")))","=IFERROR(IF(I78=""EI"",IF(O78=""低"",3,IF(O78=""中"",4,6)),IF(I78=""EO"",IF(O78=""低"",4,IF(O78=""中"",5,7)),IF(I78=""EQ"",IF(O78=""低"",3,IF(O78=""中"",4,6)),IF(I78=""ILF"",IF(O78=""低"",7,IF(O78=""中"",10,15)),IF(I78=""EIF"",IF(O78=""低"",5,IF(O78=""中"",7,10)),""不计算"")))))*Q78,""不计算"")",1,=调整因子!$F$13,1,"=IFERROR(P78*R78,0)",=T78*S78,产品漏洞预警任务表、产品漏洞表、扫描资产表、资产组件表,,产品漏洞预警任务表{任务ID、任务名称、任务描述、开始时间、结束时间、状态}、产品漏洞表{漏洞ID、漏洞名称、描述、影响程度、发现时间}、扫描资产表{资产ID、IP地址、主机名、操作系统、部门}、资产组件表{组件ID、资产ID、组件名称、版本、安装路径},,,部企接口配置表,,
,,2025,张明峰,,,,查询产品漏洞预警工单列表,EO,新增,,,,,,,,,,,,产品漏洞预警工单表,,产品漏洞预警工单表{工单状态、预警任务编号|工单编号、工单名称、工单状态、漏洞数量、资产数量、创建时间、下发时间},,,,,
,,2025,张明峰,,,,查询产品漏洞预警工单详情,EO,新增,,,,,,,,,,,,产品漏洞预警工单表,,产品漏洞预警工单表{工单编号|工单名称、工单状态、排查范围摘要、漏洞数量、资产数量、处理人、创建时间、下发时间},,,,,
,,2025,张明峰,,,,编辑预警工单排查范围,EI,新增,,,,,,,,,,,,产品漏洞预警工单表、扫描资产表、产品漏洞表,,产品漏洞预警工单表{工单编号、排查范围摘要|工单编号、排查范围摘要、更新时间}、扫描资产表{资产编号、主机名、操作系统|资产编号、主机名、操作系统、部门}、产品漏洞表{漏洞编号、漏洞名称|漏洞编号、漏洞名称、影响程度},,,,,
,,2025,张明峰,,,,查询系统漏洞范围,EQ,新增,,,,,,,,,,,,系统漏洞结果表、产品漏洞表,,系统漏洞结果表{任务实例编号|结果编号、漏洞编号、资产编号、检测结果、修复建议}、产品漏洞表{漏洞编号|漏洞编号、漏洞名称、影响程度、发现时间},,,,,
,,2025,张明峰,,,,查询资产排查范围,EQ,新增,,,,,,,,,,,,扫描资产表,,扫描资产表{任务编号、部门、操作系统|资产编号、主机名、操作系统、部门、IP地址},,,,,
,,2025,张明峰,,,,查新产品漏洞范围,EQ,新增,,,,,,,,,,,,产品漏洞表,,产品漏洞表{漏洞名称、影响程度|漏洞编号、漏洞名称、描述、影响程度、发现时间},,,,,
=ROW()-1,,2025,张明峰,,,,产品漏洞预警工单下发任务,EI,修改名称：「产品漏洞预警任务自动化执行」,,"=IF(OR(X85=""估算法"",X85=""算法类"",X85=""无法识别""),"""",IF(V85="""",IF(OR(I85=""EI"",I85=""EO"",I85=""EQ""),0,""""),LEN(V85)-LEN(SUBSTITUTE(V85,""、"",""""))+1))","=IF(OR(X85=""估算法"",X85=""算法类"",X85=""无法识别""),"""",IF(W85="""",IF(OR(I85=""ILF"",I85=""EIF""),0,""""),LEN(W85)-LEN(SUBSTITUTE(W85,""、"",""""))+1))","=IF(OR(X85=""估算法"",X85=""算法类"",X85=""无法识别""),"""",IF(X85="""",IF(OR(I85=""ILF"",I85=""EIF"",I85=""EI"",I85=""EO"",I85=""EQ""),0,""""),LEN(X85)-LEN(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(X85,""|}"",""--""),""{|"",""--""),CHAR(10),""""),""、"",""""),""|"",""""))+IF(AND(OR(I85=""EI"",I85=""EO"",I85=""EQ""),$AD$1=""NESMA""),2,1)))","=IF(I85=""EI"",IF(OR(X85=""估算法"",X85=""算法类""),""中"",IF(X85=""无法识别"",""低"",IF(L85<2,IF(N85<16,""低"",""中""),IF(L85<3,IF(N85<5,""低"",IF(N85<16,""中"",""高"")),IF(N85<5,""中"",""高""))))),IF(OR(I85=""EO"",I85=""EQ""),IF(OR(X85=""估算法"",X85=""算法类""),""中"",IF(X85=""无法识别"",""低"",IF(L85<2,IF(N85<20,""低"",""中""),IF(L85<4,IF(N85<6,""低"",IF(N85<20,""中"",""高"")),IF(N85<6,""中"",""高""))))),IF(OR(I85=""ILF"",I85=""EIF""),IF(OR(X85=""估算法"",X85=""算法类"",X85=""无法识别""),""低"",IF(M85<2,IF(N85<51,""低"",""中""),IF(M85<6,IF(N85<20,""低"",IF(N85<51,""中"",""高"")),IF(N85<20,""中"",""高"")))),""不计算"")))","=IFERROR(IF(I85=""EI"",IF(O85=""低"",3,IF(O85=""中"",4,6)),IF(I85=""EO"",IF(O85=""低"",4,IF(O85=""中"",5,7)),IF(I85=""EQ"",IF(O85=""低"",3,IF(O85=""中"",4,6)),IF(I85=""ILF"",IF(O85=""低"",7,IF(O85=""中"",10,15)),IF(I85=""EIF"",IF(O85=""低"",5,IF(O85=""中"",7,10)),""不计算"")))))*Q85,""不计算"")",1,=调整因子!$F$13,1,"=IFERROR(P85*R85,0)",=T85*S85,产品漏洞预警任务表、任务实例表,,产品漏洞预警任务表{任务ID、任务名称、任务描述、开始时间、结束时间、状态}、任务实例表{实例ID、任务ID、资产ID、状态、开始时间、结束时间},,,部企接口配置表,,
=ROW()-1,,2025,张明峰,,,,产品漏洞预警任务处置,EO,修改名称：「产品漏洞自动化关联分析」,,"=IF(OR(X86=""估算法"",X86=""算法类"",X86=""无法识别""),"""",IF(V86="""",IF(OR(I86=""EI"",I86=""EO"",I86=""EQ""),0,""""),LEN(V86)-LEN(SUBSTITUTE(V86,""、"",""""))+1))","=IF(OR(X86=""估算法"",X86=""算法类"",X86=""无法识别""),"""",IF(W86="""",IF(OR(I86=""ILF"",I86=""EIF""),0,""""),LEN(W86)-LEN(SUBSTITUTE(W86,""、"",""""))+1))","=IF(OR(X86=""估算法"",X86=""算法类"",X86=""无法识别""),"""",IF(X86="""",IF(OR(I86=""ILF"",I86=""EIF"",I86=""EI"",I86=""EO"",I86=""EQ""),0,""""),LEN(X86)-LEN(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(X86,""|}"",""--""),""{|"",""--""),CHAR(10),""""),""、"",""""),""|"",""""))+IF(AND(OR(I86=""EI"",I86=""EO"",I86=""EQ""),$AD$1=""NESMA""),2,1)))","=IF(I86=""EI"",IF(OR(X86=""估算法"",X86=""算法类""),""中"",IF(X86=""无法识别"",""低"",IF(L86<2,IF(N86<16,""低"",""中""),IF(L86<3,IF(N86<5,""低"",IF(N86<16,""中"",""高"")),IF(N86<5,""中"",""高""))))),IF(OR(I86=""EO"",I86=""EQ""),IF(OR(X86=""估算法"",X86=""算法类""),""中"",IF(X86=""无法识别"",""低"",IF(L86<2,IF(N86<20,""低"",""中""),IF(L86<4,IF(N86<6,""低"",IF(N86<20,""中"",""高"")),IF(N86<6,""中"",""高""))))),IF(OR(I86=""ILF"",I86=""EIF""),IF(OR(X86=""估算法"",X86=""算法类"",X86=""无法识别""),""低"",IF(M86<2,IF(N86<51,""低"",""中""),IF(M86<6,IF(N86<20,""低"",IF(N86<51,""中"",""高"")),IF(N86<20,""中"",""高"")))),""不计算"")))","=IFERROR(IF(I86=""EI"",IF(O86=""低"",3,IF(O86=""中"",4,6)),IF(I86=""EO"",IF(O86=""低"",4,IF(O86=""中"",5,7)),IF(I86=""EQ"",IF(O86=""低"",3,IF(O86=""中"",4,6)),IF(I86=""ILF"",IF(O86=""低"",7,IF(O86=""中"",10,15)),IF(I86=""EIF"",IF(O86=""低"",5,IF(O86=""中"",7,10)),""不计算"")))))*Q86,""不计算"")",1,=调整因子!$F$13,1,"=IFERROR(P86*R86,0)",=T86*S86,产品漏洞表、扫描资产表、资产组件表,,产品漏洞表{漏洞ID、漏洞名称、描述、影响程度、发现时间}、扫描资产表{资产ID、IP地址、主机名、操作系统、部门}、资产组件表{组件ID、资产ID、组件名称、版本、安装路径},,,部企接口配置表,,
=ROW()-1,,2025,张明峰,,,,订阅产品漏洞关联分析结果,EI,,,"=IF(OR(X87=""估算法"",X87=""算法类"",X87=""无法识别""),"""",IF(V87="""",IF(OR(I87=""EI"",I87=""EO"",I87=""EQ""),0,""""),LEN(V87)-LEN(SUBSTITUTE(V87,""、"",""""))+1))","=IF(OR(X87=""估算法"",X87=""算法类"",X87=""无法识别""),"""",IF(W87="""",IF(OR(I87=""ILF"",I87=""EIF""),0,""""),LEN(W87)-LEN(SUBSTITUTE(W87,""、"",""""))+1))","=IF(OR(X87=""估算法"",X87=""算法类"",X87=""无法识别""),"""",IF(X87="""",IF(OR(I87=""ILF"",I87=""EIF"",I87=""EI"",I87=""EO"",I87=""EQ""),0,""""),LEN(X87)-LEN(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(SUBSTITUTE(X87,""|}"",""--""),""{|"",""--""),CHAR(10),""""),""、"",""""),""|"",""""))+IF(AND(OR(I87=""EI"",I87=""EO"",I87=""EQ""),$AD$1=""NESMA""),2,1)))","=IF(I87=""EI"",IF(OR(X87=""估算法"",X87=""算法类""),""中"",IF(X87=""无法识别"",""低"",IF(L87<2,IF(N87<16,""低"",""中""),IF(L87<3,IF(N87<5,""低"",IF(N87<16,""中"",""高"")),IF(N87<5,""中"",""高""))))),IF(OR(I87=""EO"",I87=""EQ""),IF(OR(X87=""估算法"",X87=""算法类""),""中"",IF(X87=""无法识别"",""低"",IF(L87<2,IF(N87<20,""低"",""中""),IF(L87<4,IF(N87<6,""低"",IF(N87<20,""中"",""高"")),IF(N87<6,""中"",""高""))))),IF(OR(I87=""ILF"",I87=""EIF""),IF(OR(X87=""估算法"",X87=""算法类"",X87=""无法识别""),""低"",IF(M87<2,IF(N87<51,""低"",""中""),IF(M87<6,IF(N87<20,""低"",IF(N87<51,""中"",""高"")),IF(N87<20,""中"",""高"")))),""不计算"")))","=IFERROR(IF(I87=""EI"",IF(O87=""低"",3,IF(O87=""中"",4,6)),IF(I87=""EO"",IF(O87=""低"",4,IF(O87=""中"",5,7)),IF(I87=""EQ"",IF(O87=""低"",3,IF(O87=""中"",4,6)),IF(I87=""ILF"",IF(O87=""低"",7,IF(O87=""中"",10,15)),IF(I87=""EIF"",IF(O87=""低"",5,IF(O87=""中"",7,10)),""不计算"")))))*Q87,""不计算"")",1,=调整因子!$F$13,1,"=IFERROR(P87*R87,0)",=T87*S87,关联分析成功资产表、关联分析失败资产表,,关联分析成功资产表{成功记录ID、资产ID、关联漏洞ID、分析时间}、关联分析失败资产表{失败记录ID、资产ID、失败原因、分析时间},,,归属规则设定表,,
